sensor_A,sensor_B,dist_km,n_obs,pearson_r,pearson_p,spearman_r,spearman_p,z_dist_km,z_pearson_r,z_spearman_r,mahal,outlier_mahal,outlier_z,weight,w_dist,w_corr
LOTT,RFRT,992.3015,31237,0.186957,0.0,0.232576,0.0,0.4307518591846169,0.0764843657397912,0.0855224589778261,0.4860065839595315,False,False,,,
OTAT,GIST,999.3126,31288,-0.023641,2.9e-05,0.222425,0.0,0.4451462947148097,0.3387036319087662,0.0669436257946238,1.5261386933996302,False,False,,,
NBRT,NCPT,1011.2569,31296,-0.048859,0.0,-0.048197,0.0,0.46966904525371,0.388420205307855,0.4283613681670131,0.5605679323775766,False,False,,,
OTAT,TAUT,1018.2949,31319,-0.163054,0.0,-0.163234,0.0,0.4841187089671783,0.6135524163994941,0.6389074456860797,0.711475995953233,False,False,,,
CHIT,CHST,1019.1837,31281,-0.875557,0.0,-0.877368,0.0,0.4859434974168134,2.018231918999662,1.9459487673738944,2.012272138731213,False,False,,,
OTAT,MNKT,1026.9055,31255,-0.547165,0.0,-0.88675,0.0,0.5017970656553272,1.370816383601391,1.9631201409257415,2.633956317875327,False,False,,,
RBCT,NCPT,1027.7883,31294,0.521042,0.0,0.550609,0.0,0.5036095355510715,0.7351234895416235,0.6676012742426654,1.01297933692453,False,False,,,
NCPT,RFRT,1028.947,31219,0.195764,0.0,0.236299,0.0,0.5059884536165439,0.0938471170256098,0.0923364670500419,0.5625887612006863,False,False,,,
OTAT,CHIT,1041.7657,31319,0.750736,0.0,0.749626,0.0,0.532306428075742,1.187958710825243,1.0318514607879687,1.4667488970224745,False,False,,,
OTAT,AUCT,1057.06,31315,-0.230333,0.0,-0.23147,0.0,0.5637070378701295,0.7461910610865153,0.7637961523247354,0.8473393728879619,False,False,,,
RBCT,TAUT,1079.3908,31320,0.586694,0.0,0.5818,0.0,0.6095542317395126,0.8645545497683261,0.7246884957791901,1.219566567403508,False,False,,,
RBCT,AUCT,1081.029,31316,0.697075,0.0,0.693276,0.0,0.6129176075700618,1.0821675677858067,0.9287170651743888,1.4175284147430631,False,False,,,
TAUT,RFRT,1081.762,31245,0.223576,0.0,0.25473,0.0,0.6144225242370086,0.1486776880215437,0.1260697420376887,0.6879685741662941,False,False,,,
AUCT,RFRT,1083.0431,31241,0.441242,0.0,0.460284,0.0,0.6170527408018461,0.5778000476648969,0.5022842505728053,0.9674789650088432,False,False,,,
CHIT,MNKT,1092.3284,31258,-0.452882,0.0,-0.729515,0.0,0.636116318874973,1.18494011705423,1.6753413176018508,2.2032373058940173,False,False,,,
CHIT,AUCT,1094.297,31318,0.342613,0.0,0.34342,0.0,0.6401580364064213,0.3833557650977331,0.2883943125251493,0.8537346101549796,False,False,,,
RBCT,GIST,1110.1327,31289,-0.268308,0.0,0.08544,0.0,0.6726701903801883,0.8210576989971505,0.1837727039857888,2.398130557188733,False,False,,,
OTAT,LOTT,1110.3325,31311,0.066365,0.0,0.066373,0.0,0.6730803982247391,0.1612593498341213,0.21867001580769,0.6781618776160895,False,False,,,
CHIT,GBIT,1111.8101,31293,0.068943,0.0,0.167164,0.0,0.6761140474294876,0.1561768957845198,0.0341976312772846,0.8575215649223039,False,False,,,
GIST,RFRT,1112.8858,31214,-0.585963,0.0,-0.181735,0.0,0.6783225588328095,1.447305542723361,0.6727688379353584,2.956103129139225,False,False,,,
RBCT,MNKT,1115.1252,31256,0.063876,0.0,0.054528,0.0,0.6829202537631789,0.1661663429021811,0.2403492867223813,0.6985210126452618,False,False,,,
NAPT,PUYT,1116.7913,31316,-0.854386,0.0,-0.863653,0.0,0.6863409108693186,1.976493891581464,1.9208469353270397,1.982680220181978,False,False,,,
RFRT,MNKT,1117.133,31214,0.036998,0.0,0.011304,0.045818,0.6870424525133783,0.2191555593277783,0.3194598655334084,0.7338144256941541,False,False,,,
OTAT,GBIT,1144.7377,31290,-0.017468,0.002002,-0.04246,0.0,0.743717449943213,0.3265337370879011,0.4178612434529917,0.7926498669367906,False,False,,,
PUYT,MNKT,1200.4608,31253,0.328518,0.0,0.564005,0.0,0.8581221183251353,0.3555678714479528,0.6921192576257978,1.754575292850544,False,False,,,
TAUT,PUYT,1227.9679,31317,-0.696337,0.0,-0.700018,0.0,0.9145967339450196,1.6649047604389229,1.621354533796815,1.7410696006909676,False,False,,,
NAPT,RBCT,1228.934,31319,0.556182,0.0,0.554211,0.0,0.9165802264306092,0.8044010051750592,0.6741938224769176,1.3989342667933635,False,False,,,
NAPT,RFRT,1231.5969,31244,0.387886,0.0,0.403722,0.0,0.9220474059564112,0.4726102034947888,0.3987618426811405,1.163866280663686,False,False,,,
AUCT,PUYT,1233.5221,31313,-0.606674,0.0,-0.612921,0.0,0.9260000192813854,1.4881366931583098,1.4619455461347746,1.593596971945254,False,False,,,
GIST,PUYT,1247.0455,31286,-0.12392,0.0,-0.608924,0.0,0.953764807895014,0.5364008427854111,1.4546300504956,3.286370080902288,False,False,,,
OTAT,NCPT,1283.9819,31293,-0.459267,0.0,-0.488186,0.0,1.0295986468813954,1.197527963876071,1.2336497371399229,1.4243668894389454,False,False,,,
GBIT,PUYT,1327.0693,31288,-0.049142,0.0,-0.19617,0.0,1.1180610566977776,0.3889781317997236,0.6991884475304253,1.4633702356943112,False,False,,,
PUYT,LOTT,1346.3435,31309,-0.816121,0.0,-0.820877,0.0,1.1576327685969148,1.901055526877041,1.842556306990456,2.027085876284632,False,False,,,
CHIT,PUYT,1355.5071,31317,-0.81367,0.0,-0.820666,0.0,1.1764464853352978,1.8962234497336845,1.842170124958966,2.029680009349938,False,False,,,
CPIT,RBCT,1397.2804,31320,0.354027,0.0,0.35336,0.0,1.2622109265404453,0.405858143112532,0.3065869636768616,1.454424122827097,False,False,,,
CPIT,RFRT,1399.961,31245,0.144197,0.0,0.167563,0.0,1.267714445800224,0.0078157642683395,0.0334673628859835,1.31000104509612,False,False,,,
CHIT,NCPT,1402.2034,31296,0.124647,0.0,0.132813,0.0,1.2723183000075389,0.0463580360564348,0.0970684320531868,1.297782799639216,False,False,,,
NCPT,PUYT,1407.4718,31291,-0.418986,0.0,-0.453364,0.0,1.2831348115602577,1.118115112218973,1.1699168902178982,1.5320665460258336,False,False,,,
WLGT,RBCT,1489.867,31319,0.269176,0.0,0.271262,0.0,1.4522997634789796,0.2385767976653875,0.1563273787419248,1.5695918238614852,False,False,,,
WLGT,RFRT,1492.4174,31244,0.125163,0.0,0.168869,0.0,1.4575359701193364,0.0453407566578334,0.0310770608332535,1.5227603056139931,False,False,,,
RBCT,KAIT,1642.9568,31320,0.218394,0.0,0.224725,0.0,1.766607255374706,0.1384615216580701,0.0711531929625251,1.8593884287206863,False,False,,,
CHIT,RBCT,1645.0236,31320,0.299351,0.0,0.301076,0.0,1.7708505865714943,0.2980659562948389,0.2108943507174931,1.918749200060884,False,False,,,
KAIT,RFRT,1645.4843,31245,0.068042,0.0,0.097787,0.0,1.7717964462010478,0.1579531917886668,0.1611746492805382,1.814160398199047,False,False,,,
CHIT,RFRT,1648.2966,31245,0.122909,0.0,0.143417,0.0,1.7775703577187212,0.049784453875755,0.0776604971625674,1.830611887842791,False,False,,,
CHST,RBCT,1700.2194,31279,-0.103683,0.0,-0.105313,0.0,1.88417265937568,0.4965041699375501,0.5328977326721637,1.8843669621791272,False,False,,,
CHST,RFRT,1702.4842,31204,0.019379,0.000618,-0.005212,0.35721,1.8888225028508523,0.2538909192579293,0.3496882182921287,1.894043048919592,False,False,,,
NBRT,RBCT,1787.646,31320,0.203595,0.0,0.209528,0.0,2.0636675399684488,0.1092857119295779,0.0433389354622664,2.1587508277388383,False,False,,,
NBRT,RFRT,1790.165,31245,0.118922,0.0,0.128564,0.0,2.0688392795101125,0.0576447115544832,0.1048451498342356,2.1243245333465586,False,False,,,
OTAT,RBCT,2093.5067,31317,-0.054388,0.0,-0.051191,0.0,2.691627792620626,0.3993204723521711,0.4338411264716637,2.715814304378426,False,False,,,
OTAT,RFRT,2096.0177,31242,0.039526,0.0,0.033713,0.0,2.6967831074237685,0.2141716788633126,0.2784458695918874,2.738281855467391,False,False,,,
